method_id,scale,training_seed,evaluation_episodes,makespan,completion_rate,deadline_completion_rate,mission_success,deadline_remaining_tasks,throughput,invalid_actions,communication_events,heartbeat_messages,reallocated_tasks,reallocation_successes,reallocation_success_rate,return
gppo_none,3x16,3,100,86.45322180221727,0.7708160002472663,0.7006535947712418,0.0,4.96,0.8915384615384615,86.46,0.0,33.36,0.23,0.0,0.0,-74.05218919720085
gppo_none,3x16,4,100,88.84705330682942,0.7851838782319669,0.7275939542483659,0.01,4.51,0.9253846153846154,88.95,0.0,33.88,0.24,0.0,0.0,-76.446020701813
gppo_none,3x16,5,100,92.13593894418824,0.7666480310867846,0.7192728758169935,0.01,4.64,0.9153846153846154,92.51,0.0,34.8,0.24,0.0,0.0,-79.73490633917181
gppo_none,3x20,1,100,103.39405070807007,0.8123603425559947,0.7557092038396387,0.04,5.08,0.8688888888888888,101.48,0.0,40.87,0.28,0.0,0.0,-90.70760703123688
gppo_none,3x20,2,100,102.59745990726866,0.8085905797101448,0.7537249200075287,0.02,5.12,0.8666666666666667,101.08,0.0,39.81,0.28,0.0,0.0,-89.9110162304355
gppo_none,3x20,3,100,101.4760944020873,0.815145256916996,0.7492663278750235,0.05,5.21,0.8616666666666667,100.52,0.0,39.77,0.26,0.0,0.0,-88.78965072525412
gppo_none,3x20,4,100,100.02462447524665,0.8111030020703934,0.7615465838509317,0.05,4.96,0.8755555555555554,97.77,0.0,39.86,0.29,0.0,0.0,-87.33818079841349
gppo_none,3x20,5,100,107.31080089064257,0.7956874176548088,0.7500527950310559,0.04,5.19,0.8627777777777779,105.96,0.0,40.87,0.29,0.0,0.0,-94.62435721380938
gppo_none,4x24,1,100,38.59467779211901,0.9370833333333334,0.7937500000000002,0.01,4.95,1.190625,27.52,0.0,48.94,0.23,0.0,0.0,-25.78031514343536
gppo_none,4x24,2,100,42.6775210707761,0.935,0.7829166666666665,0.03,5.21,1.174375,31.37,0.0,50.03,0.2,0.0,0.0,-29.863158422092457
gppo_none,4x24,3,100,35.258859736087985,0.9504166666666666,0.8004166666666667,0.02,4.79,1.200625,23.77,0.0,49.9,0.18,0.0,0.0,-22.444497087404343
gppo_none,4x24,4,100,35.80391555245572,0.9541666666666666,0.8083333333333332,0.06,4.6,1.2125,24.25,0.0,48.21,0.19,0.0,0.0,-22.989552903772086
gppo_none,4x24,5,100,44.90210995402061,0.9337499999999999,0.7729166666666667,0.03,5.45,1.159375,33.44,0.0,52.06,0.25,0.0,0.0,-32.08774730533697
gppo_periodic,2x12,1,100,18.643175767981898,0.9046199633699633,0.7499963369963369,0.07,3.17,0.6714285714285714,3.37,8.21,9.64,0.26,0.09,0.34615384615384615,-7.5825269865329
gppo_periodic,2x12,2,100,19.375416613313956,0.9069207875457874,0.7479816849816849,0.08,3.19,0.67,4.09,8.55,9.69,0.26,0.08,0.3076923076923077,-8.314767831864955
gppo_periodic,2x12,3,100,17.738152941853585,0.905709706959707,0.7619450549450548,0.09,3.02,0.6821428571428573,2.32,7.7,9.61,0.26,0.09,0.34615384615384615,-6.677504160404587
gppo_periodic,2x12,4,100,18.953509866554565,0.9027487071751779,0.7716062271062271,0.12,2.88,0.6907142857142857,3.87,8.38,9.5,0.25,0.07,0.28,-7.892861085105568
gppo_periodic,2x12,5,100,19.297033506209367,0.9083411172161172,0.7555897435897435,0.08,3.09,0.677142857142857,3.93,8.55,9.67,0.25,0.09,0.36,-8.23638472476037
gppo_periodic,3x16,1,100,19.274335865182653,0.94109477124183,0.7323080065359477,0.0,4.42,0.9323076923076923,3.31,8.75,26.09,0.27,0.13,0.48148148148148145,-6.873303260166226
gppo_periodic,3x16,2,100,20.777839436287344,0.9383270983832129,0.729125816993464,0.01,4.48,0.9276923076923077,5.15,9.49,25.56,0.31,0.13,0.41935483870967744,-8.376806831270923
gppo_periodic,3x16,3,100,21.78540767325004,0.9418878998968009,0.7397303921568629,0.02,4.3,0.9415384615384617,6.56,10.0,26.05,0.27,0.13,0.48148148148148145,-9.384375068233613
gppo_periodic,3x16,4,100,24.223453763676638,0.9362577092240406,0.7236764705882353,0.0,4.58,0.9207692307692308,8.69,11.25,26.14,0.31,0.16,0.5161290322580645,-11.82242115866021
gppo_periodic,3x16,5,100,20.05094152571992,0.9404754901960785,0.7369321895424836,0.02,4.35,0.9376923076923077,4.46,9.14,25.62,0.29,0.15,0.5172413793103449,-7.649908920703496
gppo_periodic,3x20,1,100,26.760101849613257,0.930196452098626,0.7933644833427443,0.06,4.3,0.9122222222222223,8.0,12.29,29.07,0.31,0.13,0.41935483870967744,-14.073658172780085
gppo_periodic,3x20,2,100,25.014116575180118,0.9353702710333145,0.7982018633540373,0.07,4.2,0.9172222222222223,5.9,11.3,28.79,0.3,0.11,0.36666666666666664,-12.327672898346934
gppo_periodic,3x20,3,100,22.717899306190567,0.9347878787878788,0.8189795783926219,0.09,3.76,0.9416666666666668,4.29,10.23,27.81,0.27,0.09,0.3333333333333333,-10.031455629357389
gppo_periodic,3x20,4,100,26.063256534793656,0.932463768115942,0.7825246565029172,0.06,4.53,0.9,7.12,11.93,29.42,0.31,0.14,0.45161290322580644,-13.376812857960473
gppo_periodic,3x20,5,100,23.05308142246239,0.9322427065687936,0.8051557500470544,0.08,4.05,0.9255555555555556,4.35,10.4,27.97,0.28,0.09,0.32142857142857145,-10.366637745629212
gppo_periodic,4x24,1,100,21.660540693612496,0.97,0.8200000000000002,0.03,4.32,1.23,2.59,10.09,46.48,0.19,0.11,0.5789473684210527,-8.846178044928854
gppo_periodic,4x24,2,100,21.551841017247135,0.9704166666666666,0.8212500000000001,0.03,4.29,1.231875,2.28,10.03,46.65,0.2,0.11,0.55,-8.737478368563487
gppo_periodic,4x24,3,100,22.339250757502874,0.9679166666666668,0.8254166666666669,0.03,4.19,1.238125,3.67,10.37,46.34,0.21,0.13,0.6190476190476191,-9.524888108819225
gppo_periodic,4x24,4,100,21.594688809211263,0.9704166666666666,0.8129166666666667,0.02,4.49,1.219375,2.58,10.09,46.8,0.19,0.12,0.631578947368421,-8.780326160527615
gppo_periodic,4x24,5,100,21.368447835345446,0.9729166666666668,0.8279166666666665,0.05,4.13,1.241875,2.38,9.94,46.19,0.22,0.14,0.6363636363636364,-8.554085186661798
greedy_event,2x12,-1,100,17.576010212403602,0.9022847985347986,0.7603150183150182,0.12,3.03,0.6814285714285714,0.11,14.99,9.82,0.23,0.04,0.17391304347826086,-6.515361430954605
greedy_event,3x16,-1,100,19.090324136015393,0.9375980392156862,0.7306862745098041,0.0,4.46,0.9292307692307691,0.18,19.74,25.69,0.28,0.14,0.5,-6.689291530998969
greedy_event,3x20,-1,100,23.143422099050586,0.938171277997365,0.8205899680030115,0.1,3.73,0.9433333333333336,0.46,23.92,28.3,0.29,0.14,0.4827586206896552,-10.45697842221741
greedy_event,4x24,-1,100,21.977036840028838,0.9725000000000001,0.8112499999999998,0.03,4.53,1.216875,0.39,28.0,47.35,0.21,0.13,0.6190476190476191,-9.162674191345195
ppo_event,2x12,1,100,18.135372652083603,0.8988873626373626,0.7443717948717947,0.07,3.23,0.6671428571428573,0.13,15.19,9.86,0.23,0.05,0.21739130434782608,-7.074723870634603
ppo_event,2x12,2,100,17.718430568503276,0.904382676147382,0.7540641025641025,0.08,3.11,0.6757142857142857,0.12,15.15,9.74,0.24,0.07,0.2916666666666667,-6.657781787054278
ppo_event,2x12,3,100,17.55026428389381,0.903169413919414,0.7572124542124541,0.12,3.06,0.6778571428571429,0.14,14.89,9.69,0.19,0.05,0.2631578947368421,-6.4896155024448126
ppo_event,2x12,4,100,17.93052485923245,0.9032335164835166,0.744941391941392,0.11,3.23,0.667142857142857,0.14,15.04,9.68,0.22,0.07,0.3181818181818182,-6.869876077783451
